Timestamp,Participant ID,Soaking your feet in warm mustard oil pulls a fever down because the heat from the oil forces the hot blood to move away from your head.,Applying fresh milk directly to your face removes all types of minor skin wrinkles.,Stop drinking tap water without boiling it immediately before it silently causes severe and untreatable damage to your kidneys.,Consuming a small bowl of roasted chana for breakfast drastically improves your nighttime sleep.,Do not use the free Wi-Fi at coffee shops or your entire digital life and all your passwords will be instantly stolen by cyber criminals!,Renowned cyber experts warn that leaving your phone location turned on is the biggest threat to your personal safety in the city today.,"Swallowing a spoonful of pure ghee before meals coats your stomach lining, which physically prevents spicy food from burning your insides.",Turning off your phone screen during a phone call makes your battery last for two extra days.,Leaving your laptop plugged into the TV using a cable burns the laptop out because the TV sends extra power back through the wire.,Emergency medical warning: a mysterious new skin allergy is sending completely healthy children to the hospital across all major towns this week.,Deleting old voice notes frees up your phone RAM because the audio player app no longer has to hold those sound files in its active memory.,Free mobile games use up your phone battery faster even when you play them without the internet.,Attention Check
3/26/2026 14:06:42,14,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
3/26/2026 14:39:52,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/27/2026 15:06:20,16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/28/2026 9:25:52,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
3/28/2026 9:32:13,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/28/2026 9:36:44,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/28/2026 9:41:43,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/28/2026 18:09:38,21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/29/2026 13:39:32,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/29/2026 14:28:46,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/29/2026 14:37:17,24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/29/2026 14:38:16,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/29/2026 14:45:48,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/29/2026 14:55:11,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
3/29/2026 15:03:51,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/29/2026 15:11:51,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/29/2026 15:53:37,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/29/2026 19:46:27,31,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/29/2026 19:50:39,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/30/2026 13:21:37,33,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3/31/2026 0:42:50,34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
